business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,yelp_url,scraped_date,search_query,search_location
Ocean View Seafood,(881) 480-7028,hello@oceanviewseafood.com,"7259 Commerce Drive, New York, NY",https://oceanviewseafood.com,Seafood Restaurant,3.5,100,$$$$,South District,Mon-Sat: 8AM-8PM,Professional seafood restaurant serving New York and surrounding areas,https://yelp.com/biz/ocean-view-seafood,2025-09-10 02:21:35,restaurants,"New York, NY"
Mountain Steakhouse,(485) 522-6148,hello@mountainsteakhouse.com,"3378 Wilson Avenue, New York, NY",https://mountainsteakhouse.com,Steakhouse,4.5,274,$$$,Central District,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional steakhouse serving New York and surrounding areas,https://yelp.com/biz/mountain-steakhouse,2025-09-10 02:21:35,restaurants,"New York, NY"
Green Garden,(434) 747-3862,contact@greengarden.com,"612 Commerce Drive, New York, NY",https://greengarden.com,Vegetarian Restaurant,4.3,427,$,South District,Mon-Fri: 9AM-6PM,Professional vegetarian restaurant serving New York and surrounding areas,https://yelp.com/biz/green-garden,2025-09-10 02:21:35,restaurants,"New York, NY"
Downtown Diner,(782) 443-5954,support@downtowndiner.com,"7182 Madison Street, New York, NY",https://downtowndiner.com,American Diner,3.9,226,$$$,South District,Mon-Fri: 9AM-6PM,Professional american diner serving New York and surrounding areas,https://yelp.com/biz/downtown-diner,2025-09-10 02:21:35,restaurants,"New York, NY"
Bella Vista New York,(588) 533-3950,contact@bellavista.com,"2127 Center Street, New York, NY",https://bellavista.com,Italian Restaurant,3.7,743,$$$$,Midtown,Mon-Fri: 9AM-6PM,Professional italian restaurant serving New York and surrounding areas,https://yelp.com/biz/bella-vista-new-york,2025-09-10 02:21:35,restaurants,"New York, NY"
Golden Dragon #2,(755) 534-6603,contact@goldendragon.com,"4095 Roosevelt Avenue, New York, NY",https://goldendragon.com,Chinese Restaurant,4.5,737,$,Downtown,Daily: 10AM-10PM,Professional chinese restaurant serving New York and surrounding areas,https://yelp.com/biz/golden-dragon-2,2025-09-10 02:21:35,restaurants,"New York, NY"
The Local Burger #2,(944) 934-9231,support@localburger.com,"5233 Pine Street, New York, NY",https://localburger.com,American Restaurant,4.0,613,$$$,Downtown,Tue-Sat: 9AM-7PM,Professional american restaurant serving New York and surrounding areas,https://yelp.com/biz/the-local-burger-2,2025-09-10 02:21:35,restaurants,"New York, NY"
Sakura Sushi #2,(254) 630-8737,info@sakurasushi.com,"3790 Broadway, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.8,525,$$,North End,Tue-Sat: 9AM-7PM,Professional japanese restaurant serving New York and surrounding areas,https://yelp.com/biz/sakura-sushi-2,2025-09-10 02:21:35,restaurants,"New York, NY"
Mediterranean Grill #2,(301) 478-3580,hello@mediterraneangrill.com,"5768 Lincoln Avenue, New York, NY",https://mediterraneangrill.com,Mediterranean Restaurant,4.4,278,$,Central District,Mon-Fri: 9AM-6PM,Professional mediterranean restaurant serving New York and surrounding areas,https://yelp.com/biz/mediterranean-grill-2,2025-09-10 02:21:35,restaurants,"New York, NY"
Taco Fiesta #2,(385) 373-6847,support@tacofiesta.com,"8100 Oak Avenue, New York, NY",https://tacofiesta.com,Mexican Restaurant,3.5,339,$$,West Side,Mon-Fri: 9AM-6PM,Professional mexican restaurant serving New York and surrounding areas,https://yelp.com/biz/taco-fiesta-2,2025-09-10 02:21:35,restaurants,"New York, NY"
Blue Moon Bistro #2,(677) 355-4454,contact@bluemoonbistro.com,"8927 Broadway, New York, NY",https://bluemoonbistro.com,French Restaurant,4.6,239,$$$,North End,Daily: 10AM-10PM,Professional french restaurant serving New York and surrounding areas,https://yelp.com/biz/blue-moon-bistro-2,2025-09-10 02:21:35,restaurants,"New York, NY"
Spice Garden #2,(718) 930-8211,support1@spicegarden.com,"8402 Franklin Boulevard, New York, NY",https://spicegarden.com,Indian Restaurant,4.8,461,$$$,Uptown,Daily: 10AM-10PM,Professional indian restaurant serving New York and surrounding areas,https://yelp.com/biz/spice-garden-2,2025-09-10 02:21:35,restaurants,"New York, NY"
Corner Deli #2,(568) 525-2961,office@cornerdeli.com,"2664 Roosevelt Avenue, New York, NY",https://cornerdeli.com,Deli,3.7,706,$,South District,Tue-Sat: 9AM-7PM,Professional deli serving New York and surrounding areas,https://yelp.com/biz/corner-deli-2,2025-09-10 02:21:35,restaurants,"New York, NY"
Pizza Corner #2,(879) 936-5767,hello@pizzacorner.com,"406 Second Street, New York, NY",https://pizzacorner.com,Pizza Restaurant,3.5,640,$$$$,Midtown,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional pizza restaurant serving New York and surrounding areas,https://yelp.com/biz/pizza-corner-2,2025-09-10 02:21:35,restaurants,"New York, NY"
Sunrise Cafe #2,(515) 719-3305,office@sunrisecafe.com,"5571 Elm Street, New York, NY",https://sunrisecafe.com,Cafe,4.7,709,$$,Midtown,Tue-Sat: 9AM-7PM,Professional cafe serving New York and surrounding areas,https://yelp.com/biz/sunrise-cafe-2,2025-09-10 02:21:35,restaurants,"New York, NY"
Ocean View Seafood #2,(795) 838-8258,contact@oceanviewseafood.com,"9094 Madison Street, New York, NY",https://oceanviewseafood.com,Seafood Restaurant,4.1,75,$,Midtown,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional seafood restaurant serving New York and surrounding areas,https://yelp.com/biz/ocean-view-seafood-2,2025-09-10 02:21:35,restaurants,"New York, NY"
Mountain Steakhouse #2,(899) 890-9918,contact@mountainsteakhouse.com,"7297 Main Street, New York, NY",https://mountainsteakhouse.com,Steakhouse,4.5,162,$,East Side,Tue-Sat: 9AM-7PM,Professional steakhouse serving New York and surrounding areas,https://yelp.com/biz/mountain-steakhouse-2,2025-09-10 02:21:35,restaurants,"New York, NY"
Green Garden #2,(802) 227-3115,hello@greengarden.com,"4381 Wilson Avenue, New York, NY",https://greengarden.com,Vegetarian Restaurant,3.9,556,$$$$,North End,Daily: 10AM-10PM,Professional vegetarian restaurant serving New York and surrounding areas,https://yelp.com/biz/green-garden-2,2025-09-10 02:21:35,restaurants,"New York, NY"
Downtown Diner #2,(201) 363-5542,office@downtowndiner.com,"3056 Business Boulevard, New York, NY",https://downtowndiner.com,American Diner,3.6,248,$$$,South District,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional american diner serving New York and surrounding areas,https://yelp.com/biz/downtown-diner-2,2025-09-10 02:21:35,restaurants,"New York, NY"
Bella Vista New York - Branch 1,(858) 625-9169,contact1@bellavista.com,"4605 Commerce Drive, New York, NY",https://bellavista.com,Italian Restaurant,4.8,577,$$,Midtown,Mon-Sun: 24/7,Professional italian restaurant serving New York and surrounding areas,https://yelp.com/biz/bella-vista-new-york---1,2025-09-10 02:21:35,restaurants,"New York, NY"
Golden Dragon #3,(509) 603-4072,info@goldendragon.com,"9888 Oak Avenue, New York, NY",https://goldendragon.com,Chinese Restaurant,4.8,641,$$$,Downtown,Mon-Sun: 24/7,Professional chinese restaurant serving New York and surrounding areas,https://yelp.com/biz/golden-dragon-3,2025-09-10 02:21:35,restaurants,"New York, NY"
The Local Burger #3,(692) 787-6189,office1@localburger.com,"8158 Jefferson Drive, New York, NY",https://localburger.com,American Restaurant,4.4,30,$$$,North End,Mon-Sat: 8AM-8PM,Professional american restaurant serving New York and surrounding areas,https://yelp.com/biz/the-local-burger-3,2025-09-10 02:21:35,restaurants,"New York, NY"
Sakura Sushi #3,(797) 736-4247,info1@sakurasushi.com,"8128 Elm Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,3.6,555,$$$,Midtown,Mon-Sun: 24/7,Professional japanese restaurant serving New York and surrounding areas,https://yelp.com/biz/sakura-sushi-3,2025-09-10 02:21:35,restaurants,"New York, NY"
Mediterranean Grill #3,(312) 709-5006,hello1@mediterraneangrill.com,"526 Wilson Avenue, New York, NY",https://mediterraneangrill.com,Mediterranean Restaurant,4.9,243,$,Central District,Mon-Sun: 24/7,Professional mediterranean restaurant serving New York and surrounding areas,https://yelp.com/biz/mediterranean-grill-3,2025-09-10 02:21:35,restaurants,"New York, NY"
Taco Fiesta #3,(662) 522-9260,office1@tacofiesta.com,"2298 Commerce Drive, New York, NY",https://tacofiesta.com,Mexican Restaurant,4.9,296,$$,West Side,Mon-Sat: 8AM-8PM,Professional mexican restaurant serving New York and surrounding areas,https://yelp.com/biz/taco-fiesta-3,2025-09-10 02:21:35,restaurants,"New York, NY"
Blue Moon Bistro #3,(290) 800-6707,office@bluemoonbistro.com,"181 Madison Street, New York, NY",https://bluemoonbistro.com,French Restaurant,4.3,35,$$$,West Side,Mon-Sun: 24/7,Professional french restaurant serving New York and surrounding areas,https://yelp.com/biz/blue-moon-bistro-3,2025-09-10 02:21:35,restaurants,"New York, NY"
Spice Garden #3,(250) 984-9537,support2@spicegarden.com,"3066 Franklin Boulevard, New York, NY",https://spicegarden.com,Indian Restaurant,4.9,784,$$,Central District,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional indian restaurant serving New York and surrounding areas,https://yelp.com/biz/spice-garden-3,2025-09-10 02:21:35,restaurants,"New York, NY"
Corner Deli #3,(874) 538-8240,hello1@cornerdeli.com,"5453 Commerce Drive, New York, NY",https://cornerdeli.com,Deli,4.0,381,$,East Side,Mon-Sun: 24/7,Professional deli serving New York and surrounding areas,https://yelp.com/biz/corner-deli-3,2025-09-10 02:21:35,restaurants,"New York, NY"
Pizza Corner #3,(510) 663-8934,info@pizzacorner.com,"5656 Roosevelt Avenue, New York, NY",https://pizzacorner.com,Pizza Restaurant,4.8,597,$,Uptown,Mon-Sat: 8AM-8PM,Professional pizza restaurant serving New York and surrounding areas,https://yelp.com/biz/pizza-corner-3,2025-09-10 02:21:35,restaurants,"New York, NY"
Sunrise Cafe #3,(227) 489-3818,support1@sunrisecafe.com,"4844 Broadway, New York, NY",https://sunrisecafe.com,Cafe,4.2,690,$$,Midtown,Mon-Sat: 8AM-8PM,Professional cafe serving New York and surrounding areas,https://yelp.com/biz/sunrise-cafe-3,2025-09-10 02:21:35,restaurants,"New York, NY"
Ocean View Seafood #3,(532) 287-2221,office@oceanviewseafood.com,"8159 Wilson Avenue, New York, NY",https://oceanviewseafood.com,Seafood Restaurant,3.7,674,$$,Downtown,Tue-Sat: 9AM-7PM,Professional seafood restaurant serving New York and surrounding areas,https://yelp.com/biz/ocean-view-seafood-3,2025-09-10 02:21:35,restaurants,"New York, NY"
Mountain Steakhouse #3,(503) 429-6800,support@mountainsteakhouse.com,"6517 Oak Avenue, New York, NY",https://mountainsteakhouse.com,Steakhouse,4.4,318,$$,Midtown,Mon-Fri: 9AM-6PM,Professional steakhouse serving New York and surrounding areas,https://yelp.com/biz/mountain-steakhouse-3,2025-09-10 02:21:35,restaurants,"New York, NY"
Green Garden #3,(634) 850-4476,contact1@greengarden.com,"576 Maple Avenue, New York, NY",https://greengarden.com,Vegetarian Restaurant,3.9,665,$$$,Uptown,Mon-Sat: 8AM-8PM,Professional vegetarian restaurant serving New York and surrounding areas,https://yelp.com/biz/green-garden-3,2025-09-10 02:21:35,restaurants,"New York, NY"
Downtown Diner #3,(299) 876-2824,contact@downtowndiner.com,"411 Elm Street, New York, NY",https://downtowndiner.com,American Diner,3.7,255,$,Central District,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional american diner serving New York and surrounding areas,https://yelp.com/biz/downtown-diner-3,2025-09-10 02:21:35,restaurants,"New York, NY"
Bella Vista New York - Branch 2,(837) 904-8719,contact2@bellavista.com,"4768 Kennedy Street, New York, NY",https://bellavista.com,Italian Restaurant,4.9,370,$$$$,North End,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional italian restaurant serving New York and surrounding areas,https://yelp.com/biz/bella-vista-new-york---2,2025-09-10 02:21:35,restaurants,"New York, NY"
Golden Dragon #4,(218) 846-9963,info1@goldendragon.com,"8253 Pine Street, New York, NY",https://goldendragon.com,Chinese Restaurant,4.9,262,$$$,Downtown,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional chinese restaurant serving New York and surrounding areas,https://yelp.com/biz/golden-dragon-4,2025-09-10 02:21:35,restaurants,"New York, NY"
The Local Burger #4,(984) 767-4524,support1@localburger.com,"7133 Main Street, New York, NY",https://localburger.com,American Restaurant,3.7,165,$$$$,Midtown,Mon-Sat: 8AM-8PM,Professional american restaurant serving New York and surrounding areas,https://yelp.com/biz/the-local-burger-4,2025-09-10 02:21:35,restaurants,"New York, NY"
Sakura Sushi #4,(711) 610-3282,hello@sakurasushi.com,"985 Elm Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.1,400,$$,Uptown,Tue-Sat: 9AM-7PM,Professional japanese restaurant serving New York and surrounding areas,https://yelp.com/biz/sakura-sushi-4,2025-09-10 02:21:35,restaurants,"New York, NY"
Mediterranean Grill #4,(248) 665-1271,support1@mediterraneangrill.com,"467 Maple Avenue, New York, NY",https://mediterraneangrill.com,Mediterranean Restaurant,4.7,142,$$,West Side,Daily: 10AM-10PM,Professional mediterranean restaurant serving New York and surrounding areas,https://yelp.com/biz/mediterranean-grill-4,2025-09-10 02:21:35,restaurants,"New York, NY"
Taco Fiesta #4,(885) 252-9471,hello@tacofiesta.com,"1016 Business Boulevard, New York, NY",https://tacofiesta.com,Mexican Restaurant,4.6,383,$$$$,North End,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional mexican restaurant serving New York and surrounding areas,https://yelp.com/biz/taco-fiesta-4,2025-09-10 02:21:35,restaurants,"New York, NY"
Blue Moon Bistro #4,(904) 956-9411,hello@bluemoonbistro.com,"8829 Franklin Boulevard, New York, NY",https://bluemoonbistro.com,French Restaurant,3.5,777,$$$$,Uptown,Daily: 10AM-10PM,Professional french restaurant serving New York and surrounding areas,https://yelp.com/biz/blue-moon-bistro-4,2025-09-10 02:21:35,restaurants,"New York, NY"
Spice Garden #4,(566) 498-5393,info@spicegarden.com,"3512 First Avenue, New York, NY",https://spicegarden.com,Indian Restaurant,3.6,353,$$,North End,Mon-Fri: 9AM-6PM,Professional indian restaurant serving New York and surrounding areas,https://yelp.com/biz/spice-garden-4,2025-09-10 02:21:35,restaurants,"New York, NY"
Corner Deli #4,(499) 271-9810,hello2@cornerdeli.com,"3267 Elm Street, New York, NY",https://cornerdeli.com,Deli,4.6,710,$$$,North End,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional deli serving New York and surrounding areas,https://yelp.com/biz/corner-deli-4,2025-09-10 02:21:35,restaurants,"New York, NY"
Pizza Corner #4,(504) 301-2309,office1@pizzacorner.com,"354 Elm Street, New York, NY",https://pizzacorner.com,Pizza Restaurant,4.4,637,$$,South District,Tue-Sat: 9AM-7PM,Professional pizza restaurant serving New York and surrounding areas,https://yelp.com/biz/pizza-corner-4,2025-09-10 02:21:35,restaurants,"New York, NY"
Sunrise Cafe #4,(995) 758-8708,office1@sunrisecafe.com,"1601 Franklin Boulevard, New York, NY",https://sunrisecafe.com,Cafe,4.7,173,$$$$,Downtown,Tue-Sat: 9AM-7PM,Professional cafe serving New York and surrounding areas,https://yelp.com/biz/sunrise-cafe-4,2025-09-10 02:21:35,restaurants,"New York, NY"
Ocean View Seafood #4,(934) 858-6953,info@oceanviewseafood.com,"606 Washington Street, New York, NY",https://oceanviewseafood.com,Seafood Restaurant,3.7,587,$$$$,South District,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional seafood restaurant serving New York and surrounding areas,https://yelp.com/biz/ocean-view-seafood-4,2025-09-10 02:21:35,restaurants,"New York, NY"
Mountain Steakhouse #4,(888) 314-5060,hello1@mountainsteakhouse.com,"7306 Oak Avenue, New York, NY",https://mountainsteakhouse.com,Steakhouse,4.1,66,$,Central District,Mon-Sun: 24/7,Professional steakhouse serving New York and surrounding areas,https://yelp.com/biz/mountain-steakhouse-4,2025-09-10 02:21:35,restaurants,"New York, NY"
Green Garden #4,(275) 268-7920,support@greengarden.com,"9354 First Avenue, New York, NY",https://greengarden.com,Vegetarian Restaurant,3.7,689,$$,East Side,Mon-Sat: 8AM-8PM,Professional vegetarian restaurant serving New York and surrounding areas,https://yelp.com/biz/green-garden-4,2025-09-10 02:21:35,restaurants,"New York, NY"
Downtown Diner #4,(772) 777-9526,support1@downtowndiner.com,"181 Madison Street, New York, NY",https://downtowndiner.com,American Diner,4.3,400,$,Midtown,Mon-Sat: 8AM-8PM,Professional american diner serving New York and surrounding areas,https://yelp.com/biz/downtown-diner-4,2025-09-10 02:21:35,restaurants,"New York, NY"
Bella Vista New York - Branch 3,(874) 256-5374,info@bellavista.com,"9486 Franklin Boulevard, New York, NY",https://bellavista.com,Italian Restaurant,4.6,492,$,Midtown,Mon-Fri: 9AM-6PM,Professional italian restaurant serving New York and surrounding areas,https://yelp.com/biz/bella-vista-new-york---3,2025-09-10 02:21:35,restaurants,"New York, NY"
Golden Dragon #5,(456) 616-7736,office@goldendragon.com,"9666 Broadway, New York, NY",https://goldendragon.com,Chinese Restaurant,4.5,31,$$$,North End,Mon-Sat: 8AM-8PM,Professional chinese restaurant serving New York and surrounding areas,https://yelp.com/biz/golden-dragon-5,2025-09-10 02:21:35,restaurants,"New York, NY"
The Local Burger #5,(440) 423-9230,info@localburger.com,"4121 Maple Avenue, New York, NY",https://localburger.com,American Restaurant,3.9,636,$$$$,West Side,Daily: 10AM-10PM,Professional american restaurant serving New York and surrounding areas,https://yelp.com/biz/the-local-burger-5,2025-09-10 02:21:35,restaurants,"New York, NY"
Sakura Sushi #5,(444) 956-2948,info2@sakurasushi.com,"2217 Jefferson Drive, New York, NY",https://sakurasushi.com,Japanese Restaurant,3.6,667,$$$$,Midtown,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional japanese restaurant serving New York and surrounding areas,https://yelp.com/biz/sakura-sushi-5,2025-09-10 02:21:35,restaurants,"New York, NY"
Mediterranean Grill #5,(618) 305-6062,contact@mediterraneangrill.com,"5651 First Avenue, New York, NY",https://mediterraneangrill.com,Mediterranean Restaurant,4.5,207,$$$,Midtown,Mon-Sat: 8AM-8PM,Professional mediterranean restaurant serving New York and surrounding areas,https://yelp.com/biz/mediterranean-grill-5,2025-09-10 02:21:35,restaurants,"New York, NY"
Taco Fiesta #5,(919) 523-9534,contact@tacofiesta.com,"9852 Pine Street, New York, NY",https://tacofiesta.com,Mexican Restaurant,4.2,61,$,East Side,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional mexican restaurant serving New York and surrounding areas,https://yelp.com/biz/taco-fiesta-5,2025-09-10 02:21:35,restaurants,"New York, NY"
Blue Moon Bistro #5,(495) 619-3755,info1@bluemoonbistro.com,"5068 Main Street, New York, NY",https://bluemoonbistro.com,French Restaurant,4.0,528,$$,Uptown,Tue-Sat: 9AM-7PM,Professional french restaurant serving New York and surrounding areas,https://yelp.com/biz/blue-moon-bistro-5,2025-09-10 02:21:35,restaurants,"New York, NY"
Spice Garden #5,(755) 850-5963,office@spicegarden.com,"5715 Madison Street, New York, NY",https://spicegarden.com,Indian Restaurant,4.9,388,$,Uptown,Tue-Sat: 9AM-7PM,Professional indian restaurant serving New York and surrounding areas,https://yelp.com/biz/spice-garden-5,2025-09-10 02:21:35,restaurants,"New York, NY"
Corner Deli #5,(908) 807-1636,support@cornerdeli.com,"4546 Business Boulevard, New York, NY",https://cornerdeli.com,Deli,4.5,340,$$$,South District,Tue-Sat: 9AM-7PM,Professional deli serving New York and surrounding areas,https://yelp.com/biz/corner-deli-5,2025-09-10 02:21:35,restaurants,"New York, NY"
Pizza Corner #5,(774) 621-3275,office2@pizzacorner.com,"9859 Commerce Drive, New York, NY",https://pizzacorner.com,Pizza Restaurant,4.5,41,$,Central District,Mon-Sun: 24/7,Professional pizza restaurant serving New York and surrounding areas,https://yelp.com/biz/pizza-corner-5,2025-09-10 02:21:35,restaurants,"New York, NY"
Sunrise Cafe #5,(264) 607-8340,contact@sunrisecafe.com,"3852 Business Boulevard, New York, NY",https://sunrisecafe.com,Cafe,4.0,503,$,South District,Mon-Sat: 8AM-8PM,Professional cafe serving New York and surrounding areas,https://yelp.com/biz/sunrise-cafe-5,2025-09-10 02:21:35,restaurants,"New York, NY"
Ocean View Seafood #5,(576) 983-6757,contact1@oceanviewseafood.com,"1964 Main Street, New York, NY",https://oceanviewseafood.com,Seafood Restaurant,4.9,427,$$,North End,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional seafood restaurant serving New York and surrounding areas,https://yelp.com/biz/ocean-view-seafood-5,2025-09-10 02:21:35,restaurants,"New York, NY"
Mountain Steakhouse #5,(826) 368-1042,office@mountainsteakhouse.com,"4164 Main Street, New York, NY",https://mountainsteakhouse.com,Steakhouse,3.9,123,$$,Downtown,Mon-Sun: 24/7,Professional steakhouse serving New York and surrounding areas,https://yelp.com/biz/mountain-steakhouse-5,2025-09-10 02:21:35,restaurants,"New York, NY"
Green Garden #5,(512) 622-3617,hello1@greengarden.com,"1643 Broadway, New York, NY",https://greengarden.com,Vegetarian Restaurant,4.9,22,$,Uptown,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional vegetarian restaurant serving New York and surrounding areas,https://yelp.com/biz/green-garden-5,2025-09-10 02:21:35,restaurants,"New York, NY"
Downtown Diner #5,(434) 241-2664,contact1@downtowndiner.com,"5286 Franklin Boulevard, New York, NY",https://downtowndiner.com,American Diner,3.5,295,$,West Side,Tue-Sat: 9AM-7PM,Professional american diner serving New York and surrounding areas,https://yelp.com/biz/downtown-diner-5,2025-09-10 02:21:35,restaurants,"New York, NY"
Bella Vista New York - Branch 4,(805) 200-4687,support@bellavista.com,"8461 Roosevelt Avenue, New York, NY",https://bellavista.com,Italian Restaurant,4.7,136,$$$,North End,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional italian restaurant serving New York and surrounding areas,https://yelp.com/biz/bella-vista-new-york---4,2025-09-10 02:21:35,restaurants,"New York, NY"
Golden Dragon #6,(753) 396-8801,hello1@goldendragon.com,"1188 Jefferson Drive, New York, NY",https://goldendragon.com,Chinese Restaurant,4.8,346,$$,North End,Mon-Sun: 24/7,Professional chinese restaurant serving New York and surrounding areas,https://yelp.com/biz/golden-dragon-6,2025-09-10 02:21:35,restaurants,"New York, NY"
The Local Burger #6,(281) 266-5635,contact@localburger.com,"5180 Second Street, New York, NY",https://localburger.com,American Restaurant,4.7,173,$$$$,Midtown,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional american restaurant serving New York and surrounding areas,https://yelp.com/biz/the-local-burger-6,2025-09-10 02:21:35,restaurants,"New York, NY"
Sakura Sushi #6,(522) 205-9957,office@sakurasushi.com,"3528 Oak Avenue, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.9,161,$$,South District,Daily: 10AM-10PM,Professional japanese restaurant serving New York and surrounding areas,https://yelp.com/biz/sakura-sushi-6,2025-09-10 02:21:35,restaurants,"New York, NY"
Mediterranean Grill #6,(225) 690-7094,support2@mediterraneangrill.com,"1872 Pine Street, New York, NY",https://mediterraneangrill.com,Mediterranean Restaurant,3.6,134,$$$$,East Side,Mon-Sun: 24/7,Professional mediterranean restaurant serving New York and surrounding areas,https://yelp.com/biz/mediterranean-grill-6,2025-09-10 02:21:35,restaurants,"New York, NY"
Taco Fiesta #6,(235) 764-1118,contact1@tacofiesta.com,"2594 Maple Avenue, New York, NY",https://tacofiesta.com,Mexican Restaurant,3.6,31,$$$$,Midtown,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional mexican restaurant serving New York and surrounding areas,https://yelp.com/biz/taco-fiesta-6,2025-09-10 02:21:35,restaurants,"New York, NY"
