Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Yelp URL,Scraped Date,Search Query,Search Location
Mountain Steakhouse New York,(477) 761-9901,contact@mountainsteakhouse.com,"1967 Park Avenue, New York, NY",https://mountainsteakhouse.com,Steakhouse,4.8,173,$,Central District,Mon-Sun: 24/7,Professional steakhouse serving New York and surrounding areas,https://yelp.com/biz/mountain-steakhouse-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Green Garden New York,(738) 705-4040,office@greengarden.com,"502 Broadway, New York, NY",https://greengarden.com,Vegetarian Restaurant,4.9,418,$$,South District,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional vegetarian restaurant serving New York and surrounding areas,https://yelp.com/biz/green-garden-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Downtown Diner New York,(223) 488-2623,team@downtowndiner.com,"3956 Roosevelt Avenue, New York, NY",https://downtowndiner.com,American Diner,5.0,329,$,North End,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional american diner serving New York and surrounding areas,https://yelp.com/biz/downtown-diner-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Bella Vista Central New York,(896) 207-3621,info@bellavista.com,"9251 Second Street, New York, NY",https://bellavista.com,Italian Restaurant,4.7,696,$$$$,East Side,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional italian restaurant serving New York and surrounding areas,https://yelp.com/biz/bella-vista-central-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Golden Dragon North New York,(906) 436-1095,support@goldendragon945.com,"8925 Elm Street, New York, NY",https://goldendragon945.com,Chinese Restaurant,4.2,93,$$,Downtown,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional chinese restaurant serving New York and surrounding areas,https://yelp.com/biz/golden-dragon-north-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
The Local Burger Central New York,(459) 903-5271,office@localburger453.com,"4162 Franklin Boulevard, New York, NY",https://localburger453.com,American Restaurant,3.9,126,$$$$,Central District,Mon-Sun: 24/7,Professional american restaurant serving New York and surrounding areas,https://yelp.com/biz/the-local-burger-central-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Sakura Sushi North New York,(598) 932-6610,contact@sakurasushi271.com,"8267 Business Boulevard, New York, NY",https://sakurasushi271.com,Japanese Restaurant,3.7,373,$$,South District,Tue-Sat: 9AM-7PM,Professional japanese restaurant serving New York and surrounding areas,https://yelp.com/biz/sakura-sushi-north-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Mediterranean Grill South New York,(492) 427-4257,connect@mediterraneangrill492.com,"4415 Second Street, New York, NY",https://mediterraneangrill492.com,Mediterranean Restaurant,4.7,292,$,Downtown,Mon-Sun: 24/7,Professional mediterranean restaurant serving New York and surrounding areas,https://yelp.com/biz/mediterranean-grill-south-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Taco Fiesta North New York,(812) 788-8749,support@tacofiesta959.com,"3130 Jefferson Drive, New York, NY",https://tacofiesta959.com,Mexican Restaurant,4.6,648,$,Uptown,Mon-Fri: 9AM-6PM,Professional mexican restaurant serving New York and surrounding areas,https://yelp.com/biz/taco-fiesta-north-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Blue Moon Bistro South New York,(478) 977-8669,support@bluemoonbistro59.com,"5092 Madison Street, New York, NY",https://bluemoonbistro59.com,French Restaurant,4.7,271,$$$,South District,Mon-Sat: 8AM-8PM,Professional french restaurant serving New York and surrounding areas,https://yelp.com/biz/blue-moon-bistro-south-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Spice Garden West New York,(462) 419-2625,info@spicegarden119.com,"3144 Business Boulevard, New York, NY",https://spicegarden119.com,Indian Restaurant,3.9,368,$,East Side,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional indian restaurant serving New York and surrounding areas,https://yelp.com/biz/spice-garden-west-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Corner Deli Downtown New York,(208) 284-8203,hello@cornerdeli25.com,"9311 Franklin Boulevard, New York, NY",https://cornerdeli25.com,Deli,3.8,84,$$,Midtown,Daily: 10AM-10PM,Professional deli serving New York and surrounding areas,https://yelp.com/biz/corner-deli-downtown-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Pizza Corner North New York,(212) 211-8402,support@pizzacorner801.com,"6429 Madison Street, New York, NY",https://pizzacorner801.com,Pizza Restaurant,3.9,347,$$$,Downtown,Tue-Sat: 9AM-7PM,Professional pizza restaurant serving New York and surrounding areas,https://yelp.com/biz/pizza-corner-north-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
